category,share_label,share,topic,source_url,survey_date
Economy in general,11,0.11,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
High cost of living/Inflation,11,0.11,inflation_cost_of_living,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Fuel/Oil prices,2,0.02,inflation_cost_of_living,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Federal budget deficit/Federal debt,2,0.02,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Gap between rich and poor,2,0.02,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Wage issues,1,0.01,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Unemployment/Jobs,1,0.01,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Taxes,1,0.01,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Corporate corruption,*,,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Lack of money,*,,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Foreign Trade/Trade deficit,--,,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
The government/Poor leadership,28,0.28,government_leadership,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Immigration,12,0.12,immigration,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Poverty/Hunger/Homelessness,6,0.06,poverty_homelessness,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Unifying the country,6,0.06,unifying_the_country,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Race relations/Racism,5,0.05,race_relations,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Ethics/moral/religious/family decline,5,0.05,ethics_morality,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Healthcare,4,0.04,healthcare,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Elections/Election reform/Democracy,4,0.04,democracy_elections,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Judicial system/Courts/Laws,3,0.03,democracy_elections,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Lack of respect for each other,3,0.03,unifying_the_country,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
War in the Middle East,3,0.03,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Wars/War (nonspecific)/Fear of war,2,0.02,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Crime/Violence,2,0.02,crime,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Foreign policy/Foreign aid/Focus overseas,2,0.02,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Education,2,0.02,education,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Abortion,1,0.01,abortion,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Welfare,1,0.01,poverty_homelessness,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
The media,1,0.01,other,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
National security,1,0.01,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Environment/Pollution/Climate change,1,0.01,environment,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Terrorism,1,0.01,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Situation with Russia,*,,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
LGBTQ rights,*,,other,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Drugs,*,,crime,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
"International issues, problems",*,,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Children’s needs,*,,other,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Care for the elderly/Medicare,*,,healthcare,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Situation with China,*,,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Advancement of computers/technology,*,,ai_technology,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Guns/Gun control,*,,guns,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Lack of military defense,*,,foreign_policy_wars,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Cancer/diseases/viruses,*,,healthcare,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Social Security,--,,economy,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Energy/Lack of energy sources,--,,inflation_cost_of_living,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Infrastructure,--,,other,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
School shootings,--,,guns,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Police brutality,--,,crime,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
Other non-economic,4,0.04,other,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-07
