outlet_id,reach_raw,reach_unit,reach_source,reach_source_url,reach_source_quote,reach_date,source_tier,flag,fetched_source,verify_verdict,verify_evidence,notes
abc_news,,,,,,,,unsourced,,,,
cbs_news,,,,,,,,unsourced,,,,
nbc_news,,,,,,,,unsourced,,,,
pbs_newshour,,,,,,,,unsourced,,,,
univision_noticias,,,,,,,,unsourced,,,,
telemundo_noticias,,,,,,,,unsourced,,,,
nyt,,,,,,,,unsourced,,,,
wsj,,,,,,,,unsourced,,,,
wapo,,,,,,,,unsourced,,,,
usa_today,,,,,,,,unsourced,,,,
latimes,,,,,,,,unsourced,,,,
ap,,,,,,,,unsourced,,,,
reuters,,,,,,,,unsourced,,,,
bloomberg,,,,,,,,unsourced,,,,
npr,,,,,,,,unsourced,,,,
time,,,,,,,,unsourced,,,,
newsweek,,,,,,,,unsourced,,,,
atlantic,,,,,,,,unsourced,,,,
new_yorker,,,,,,,,unsourced,,,,
ny_post,,,,,,,,unsourced,,,,
economist,,,,,,,,unsourced,,,,
ft,,,,,,,,unsourced,,,,
guardian_us,,,,,,,,unsourced,,,,
bbc_news,,,,,,,,unsourced,,,,
forbes,,,,,,,,unsourced,,,,
business_insider,,,,,,,,unsourced,,,,
fox_news,,,,,,,,unsourced,,,,
cnn,,,,,,,,unsourced,,,,
msnbc,,,,,,,,unsourced,,,,
newsmax,,,,,,,,unsourced,,,,
newsnation,,,,,,,,unsourced,,,,
cnbc,,,,,,,,unsourced,,,,
fox_business,,,,,,,,unsourced,,,,
oan,,,,,,,,unsourced,,,,
cspan,,,,,,,,unsourced,,,,
politico,,,,,,,,unsourced,,,,
axios,,,,,,,,unsourced,,,,
the_hill,,,,,,,,unsourced,,,,
huffpost,,,,,,,,unsourced,,,,
buzzfeed_news,,,,,,,,unsourced,,,,
daily_wire,,,,,,,,unsourced,,,,
breitbart,,,,,,,,unsourced,,,,
free_press,,,,,,,,unsourced,,,,
semafor,,,,,,,,unsourced,,,,
vox,,,,,,,,unsourced,,,,
slate,,,,,,,,unsourced,,,,
national_review,,,,,,,,unsourced,,,,
the_nation,,,,,,,,unsourced,,,,
jacobin,,,,,,,,unsourced,,,,
reason,,,,,,,,unsourced,,,,
daily_beast,,,,,,,,unsourced,,,,
intercept,,,,,,,,unsourced,,,,
mother_jones,,,,,,,,unsourced,,,,
federalist,,,,,,,,unsourced,,,,
washington_examiner,,,,,,,,unsourced,,,,
washington_times,,,,,,,,unsourced,,,,
bulwark,,,,,,,,unsourced,,,,
dispatch,,,,,,,,unsourced,,,,
daily_caller,,,,,,,,unsourced,,,,
theblaze,,,,,,,,unsourced,,,,
epoch_times,,,,,,,,unsourced,,,,
propublica,,,,,,,,unsourced,,,,
salon,,,,,,,,unsourced,,,,
realclearpolitics,,,,,,,,unsourced,,,,
daily_signal,,,,,,,,unsourced,,,,
yahoo_news,,,,,,,,unsourced,,,,
msn,,,,,,,,unsourced,,,,
puck,,,,,,,,unsourced,,,,
the_19th,,,,,,,,unsourced,,,,
compact,,,,,,,,unsourced,,,,
american_conservative,,,,,,,,unsourced,,,,
current_affairs,,,,,,,,unsourced,,,,
new_republic,,,,,,,,unsourced,,,,
raw_story,,,,,,,,unsourced,,,,
daily_kos,,,,,,,,unsourced,,,,
