rank,item_id,outlet,type,language,title,url,published_at,R,S,D,I,r_people,signal_mult,logos,ethos,pathos,d_raw,topics,prompt_version,reach_flag,content_basis,content_access,word_count,fetch_method,r_basis,justification
1,5a0a46cdcadf210a,ABC News,tv,en,House censures GOP Rep. Edwards of North Carolina for conduct toward female staffers,https://abcnews.com/Politics/wireStory/house-censures-rep-chuck-edwards-conduct-former-female-136127733,2026-09-01T22:42:29+00:00,0.031298,0.184000,0.500000,0.00287939,8200000.000000,,6,5,4,15,government_leadership:0.70; ethics_morality:0.30,score_v2,ok,full_text,open,663,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"News report detailing Ethics Committee findings, testimony, vote count, and statements from multiple lawmakers with direct quotes and documented evidence (1,500 pages, 16 interviews), balanced with Edwards' rebuttal."
2,89447535a6483fc0,ABC News,tv,en,House passes short-term funding bill to avoid a shutdown before the election,https://abcnews.com/Politics/wireStory/house-passes-short-term-funding-bill-avoid-shutdown-136121938,2026-09-01T18:13:59+00:00,0.031298,0.210000,0.433333,0.00284809,8200000.000000,,5,5,3,13,government_leadership:0.60; economy:0.20; healthcare:0.10; immigration:0.10,score_v2,ok,full_text,open,507,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Straightforward news report on legislative process, citing vote tallies, quotes from Cole and DeLauro, and factual background on prior shutdowns. Some emotional framing via DeLauro's quote about disaster relief and partisan blame, but mostly procedural and factual reporting."
3,e30d28c5e6ed8521,ABC News,tv,en,California lawmakers pass bill allowing people to identify their Jewish ancestry,https://abcnews.com/Politics/wireStory/california-lawmakers-pass-bill-allowing-people-identify-jewish-136105020,2026-09-01T06:26:42+00:00,0.031298,0.130000,0.533333,0.00216997,8200000.000000,,6,5,5,16,government_leadership:0.40; race_relations:0.40; other:0.20,score_v2,ok,full_text,open,660,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Reports legislative action with multiple viewpoints (advocates, critics, professor), personal anecdotes from Stern about antisemitism add emotional weight. Balanced news reporting rather than personal authority voice; moderate evidence and reasoning presented from various stakeholders."
4,d1e0256425dbc884,ABC News,tv,en,Democrats are again angling for Rep. Mike Lawler's House seat. Can he hold on in liberal New York?,https://abcnews.com/Politics/wireStory/democrats-angling-rep-mike-lawlers-house-seat-hold-136106020,2026-09-01T09:36:01+00:00,0.031298,0.148000,0.466667,0.00216163,8200000.000000,,5,6,3,14,government_leadership:0.40; democracy_elections:0.30; immigration:0.10; inflation_cost_of_living:0.10; crime:0.10,score_v2,ok,full_text,open,1151,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Balanced campaign profile with quotes from both candidates and voters, some polling/historical context on past races, but little hard data. Ethos derives from officeholder/candidate status; pathos moderate via charged quotes on 'crazy' Democrats, corruption, blackface controversy."
5,5dadfbd4761316e9,ABC News,tv,en,"US judges reveal panic buttons, private security in chilling new reports about threats",https://abcnews.com/Politics/wireStory/us-judges-reveal-panic-buttons-private-security-chilling-136125666,2026-09-01T20:49:29+00:00,0.031298,0.100000,0.633333,0.00198219,8200000.000000,,6,6,7,19,democracy_elections:0.60; government_leadership:0.25; crime:0.15,score_v2,ok,full_text,open,652,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Cites two detailed studies, interview counts, statistics on threat increases, and specific anecdotes (700 calls, safe room, panic buttons). Speakers include named judge Salas and study authors, giving institutional/personal authority. Emotional weight from personal tragedy and fear narratives raises pathos."
6,d2ff863d3563d119,ABC News,tv,en,Democrats aim to unite behind one candidate in Alaska governor's race,https://abcnews.com/Politics/wireStory/democrats-aim-unite-candidate-alaska-governors-race-hope-136101458,2026-09-01T03:28:41+00:00,0.031298,0.155000,0.366667,0.00177875,8200000.000000,,6,3,2,11,government_leadership:0.50; democracy_elections:0.50,score_v2,ok,full_text,open,894,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Straightforward AP-style news report detailing primary results, withdrawals, and candidate strategy in Alaska's ranked-choice system. Includes factual detail and quotes but little argumentation beyond reporting events; no strong personal authority voice; minimal emotional language, mostly procedural and factual."
7,ad01c67f808cf108,ABC News,tv,en,Federal judge considers whether to extend ban against US Postal Service mail voting changes,https://abcnews.com/Politics/wireStory/federal-judge-considers-extend-ban-us-postal-service-136166784,2026-09-03T11:38:33+00:00,0.031298,0.088500,0.500000,0.00138492,8200000.000000,,7,5,3,15,democracy_elections:0.85; government_leadership:0.15,score_v2,ok,full_text,open,548,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Straight news report citing court proceedings, legal arguments, whistleblower report, and factual details on postal procedures. Balanced sourcing from both administration and Democrats/voting rights groups. No named opinion author; standard AP-style wire reporting gives moderate institutional ethos, low emotional coloring."
8,c2afb46f928ab2ed,CBS News,tv,en,"Kashkari says inflation could be extended ""the longer there's back and forth"" in Canada tariff fight",https://www.cbsnews.com/news/neel-kashkari-minneapolis-fed-canada-tariff-inflation,2026-08-23T00:00:00+00:00,0.014885,0.186000,0.500000,0.00138435,3900000.000000,,6,8,1,15,inflation_cost_of_living:0.55; economy:0.25; foreign_policy_wars:0.20,score_v2,ok,full_text,open,387,transcript_page,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Kashkari, a Fed bank president, offers reasoned economic analysis linking tariffs, trade conflict and Iran war to inflation dynamics, citing trade data. His institutional authority is high with policy audiences. Tone is calm, technical, no emotional appeals."
9,e94013e277578951,NBC News,tv,en,Pete Hegseth Faces Growing Criticism as War With Iran Rolls On,https://www.today.com/video/republican-senator-calls-on-trump-to-fire-pete-hegseth-269264965728,2026-09-03T11:30:42+00:00,0.024237,0.152500,0.366667,0.00135523,6350000.000000,,3,5,3,11,foreign_policy_wars:0.75; government_leadership:0.25,score_v2,ok,full_text,open,307,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Brief news segment summarizing political criticism of Hegseth and escalating Iran conflict, citing a senator's call and reported troop plans, but with little detailed evidence or argument. Standard NBC News authority; moderate tension from ongoing war but no strong emotional language."
10,eb89a79e5a71b3b7,NBC News,tv,en,Trump admin threatens to cut Smithsonian support in latest claim of ideological bias,https://www.nbcnews.com/politics/trump-administration/trump-administration-threatens-smithsonian-support-rcna595873,2026-09-03T15:30:05+00:00,0.024237,0.125500,0.433333,0.00131807,6350000.000000,,4,5,4,13,government_leadership:0.40; unifying_the_country:0.25; ethics_morality:0.20; education:0.15,score_v2,ok,full_text,open,436,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Reports institutional conflict via letters and quotes from both sides, some documentary evidence but limited independent analysis. Sources carry institutional authority (Interior Dept, Smithsonian Secretary). Moderate emotional charge from terms like 'radical ideology,' 'extreme political activism.'"
