rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
1,abc_news,ABC News,tv,0.031298,0.133375,0.487500,0.00199464,0.00287939,high,8,8,8200000.000000,8200000.000000,avg_total_viewers_flagship_newscast,ok,Nielsen via Deadline (Q2 2026),https://deadline.com/2026/07/news-ratings-second-quarter-2026-1236973367/,2026-Q2,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://abcnews.com
2,nbc_news,NBC News,tv,0.024237,0.125500,0.395238,0.00117346,0.00135523,high,7,7,6350000.000000,6350000.000000,avg_total_viewers_flagship_newscast,ok,Nielsen via Deadline (Q2 2026),https://deadline.com/2026/07/news-ratings-second-quarter-2026-1236973367/,2026-Q2,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.nbcnews.com
3,cbs_news,CBS News,tv,0.014885,0.117750,0.504167,0.00087564,0.00138435,high,8,8,3900000.000000,3900000.000000,avg_total_viewers_flagship_newscast,ok,Nielsen via Deadline (Q2 2026),https://deadline.com/2026/07/news-ratings-second-quarter-2026-1236973367/,2026-Q2,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.cbsnews.com
4,marketplace,Marketplace (APM),radio,0.011298,0.135375,0.466667,0.00070959,0.00119756,high,8,8,2960000.000000,14800000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://www.marketplace.org/
5,mark_levin_show,The Mark Levin Show,radio,0.00916031,0.093800,0.640000,0.00055133,0.00060626,medium,5,5,2400000.000000,12000000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://www.marklevinshow.com/
6,npr_news,NPR News (Morning Edition / All Things Considered),radio,0.011221,0.085187,0.433333,0.00040191,0.00075856,high,8,8,2940000.000000,14700000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://www.npr.org/
7,clay_and_buck,The Clay Travis & Buck Sexton Show,radio,0.00744275,0.091563,0.537500,0.00036125,0.00056751,high,8,8,1950000.000000,9750000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (The Clay Travis and Buck Sexton Show),https://en.wikipedia.org/wiki/The_Clay_Travis_and_Buck_Sexton_Show,2024-05,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://www.clayandbuck.com/
8,fox_news,Fox News Channel,cable,0.00568702,0.130187,0.429167,0.00034033,0.00055998,high,8,8,1490000.000000,1490000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.foxnews.com
9,brian_tyler_cohen,Brian Tyler Cohen (No Lie),podcast,0.00400000,0.128500,0.533333,0.00027413,0.00027413,low,1,1,1048000.000000,5240000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://plus.briantylercohen.com/
10,hugh_hewitt_show,The Hugh Hewitt Show,radio,0.00572519,0.067063,0.537500,0.00020750,0.00046412,high,8,8,1500000.000000,7500000.000000,weekly_listeners,secondary,Talkers estimate via Wikipedia (List of most-listened-to radio programs),https://en.wikipedia.org/wiki/List_of_most-listened-to_radio_programs,,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled,https://hughhewitt.com/
11,louder_with_crowder,Louder with Crowder,podcast,0.00451145,0.093583,0.472222,0.00019657,0.00025219,high,6,6,1182000.000000,5910000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCIveFvW-ARp_B_RckhweNJw/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://www.louderwithcrowder.com/
12,rubin_report,The Rubin Report,podcast,0.00245802,0.139500,0.500000,0.00017145,0.00017145,low,1,1,644000.000000,3220000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UCJdKr0Bgd_5saZYqLCa9mng/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://rubinreport.locals.com/
13,msnbc,MS NOW (formerly MSNBC),cable,0.00241603,0.129688,0.516667,0.00016169,0.00026423,high,8,8,633000.000000,633000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.ms.now
14,pbs_newshour,PBS News Hour,tv,0.00336641,0.104750,0.466667,0.00015797,0.00031655,high,8,8,882000.000000,882000.000000,avg_total_viewers_flagship_newscast,stale,Nielsen via Pew Research Center chart (2022 annual average),https://www.pewresearch.org/chart/sotnm-public-media-pbs-newshour-viewership/,2022,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.pbs.org/newshour/
15,telemundo_noticias,Noticias Telemundo,tv,0.00549618,0.081437,0.300000,0.00013817,0.00021847,high,8,8,1440000.000000,1440000.000000,avg_total_viewers_flagship_newscast,ok,Nielsen via The Desk (week ending 2026-07-12),https://thedesk.net/2026/07/telemundo-fifa-world-cup-ratings-univision/,2026-07-12,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.telemundo.com/noticias
16,majority_report,The Majority Report with Sam Seder,podcast,0.00159542,0.129562,0.545833,0.00011313,0.00016273,high,8,8,418000.000000,2090000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://majorityreportradio.com/
17,cnn,CNN,cable,0.00176718,0.118813,0.487500,0.00010331,0.00012441,high,8,8,463000.000000,463000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.cnn.com
